교차로코드,교차로명칭,지번,X좌표,Y좌표
1298,미림여고,808-505 천,193935.1794,540666.746
1299,삼성동자치회관(연등)1,305-37도,193940.2702,540584.8985
1684,한국금융안전,600-59대,192042.612,543080.485
1484,대림1동주민센터(연등),906-40대,191655.6279,543900.3883
1485,대림역북측,795-2대,190673.5932,543891.6898
1487,거리공원입구오거리,646-4제,190574.3725,544797.1454
1490,우리유앤미아파트(연등)1,573대,189608.4052,544294.7117
1491,구로초교,462-1도,189618.1499,544027.0752
1493,구로4동우체국(연등),0-32 가,189727.0957,543595.3651
1494,구로4동우체국,754-12도,189747.0152,543460.718
1495,구로시장(연등)2,80대,189773.8202,543328.3061
1496,구로시장,339-82대,189792.1208,543229.0457
1497,구로시장(연등)1,734-14대,189837.0231,543089.0916
1498,가마산지하차도(연등),394-2도,189524.4368,543465.8707
1499,가마산지하차도,414-72도,189575.6602,543625.7012
1500,구로경찰서,443학,189898.7084,543810.9118
1501,구로경찰서(연등),442-74대,190013.9036,543882.7101
1502,구로구청구의회(연등),65도,190104.3147,543941.8236
1503,영림중(연등),64 도,190321.8935,544082.7438
1504,영림중,64 도,190458.5908,544172.6076
1505,신영초교(연등),786-29대,190717.5469,544339.6364
1506,신영초교,698도,190808.7218,544399.0806
1507,SK윈윈주유소(연등),376도,191065.2901,544652.8594
1509,신도림우성아파트,328-6도,189980.92,545899.6784
1510,신도림우성아파트(연등)1,316-1 도,189864.8952,545791.9706
1511,신정교(연등),271-96천,189553.3839,546194.1181
1512,구로현대아파트,701-2도,189160.6169,543082.2221
1513,구로1동파출소앞,685-222대,188923.9933,543540.1821
7471,대일외고,1353-13 공,201157.3235,557055.3615
1395,우림라이온즈1차,371-9도,189537.0337,542299.4652
1399,광명대교남단,535-10도,188819.3667,542864.1175
1461,영서중(연등),772도,190313.5268,543276.8936
1488,거리공원입구오거리(연등)4,646-6제,190596.6687,544744.2742
1516,구일초교앞(연등),642-53구,188660.6264,543823.1246
1517,수동물병원(연등)1,546-4대,190054.0989,544453.9441
1518,구로보건소,61-2 도,190207.6718,544554.0516
1519,신구로초교,45 종,190265.0766,544477.7683
1520,거리공원,40-9대,190286.5079,544609.8581
1521,구로등기소,37-10도,190426.7207,544398.1789
