Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest,?????????,?????•Ë??,X???,Y???
2899,,,,,,,,129.0,2899,????????(????)1,37.57336083,126.81810911
1929,,,36001.0,,,,,,1929,?????????,37.51798188,126.92429586
793,,,,,,,,36001.0,793,?????,37.59114517,126.91590659
2895,,36001.0,36001.0,,,,,,2895,????????????(??),37.57260486,126.83238407
2407,,,,,,,303.0,,2407,???????,37.54755638,127.08806688
2897,679.0,199.0,679.0,199.0,,,,,2897,??????????,37.5732598,126.82257269
2877,,,,17.0,,,,,2877,???119????????,37.57488927,126.80254475
2864,,,,,,,,,2864,?????????????????(??),37.58517863,126.88130105
2867,,,,,359.0,379.0,,,2867,?????,37.55796961,126.84459567
2823,,,,,36001.0,36001.0,36001.0,36001.0,2823,?????????,37.5310176,127.00610646
2829,,,,,121.0,191.0,,,2829,???????(??),37.52644033,126.99648963
3265,,,,,,907.0,,,3265,???????????,37.58301163,127.08393098
2910,189.0,,889.0,,,,,,2910,?????????,37.54626841,126.83643869
2879,209.0,209.0,269.0,269.0,,,,,2879,????ìô????,37.58086902,126.79846121
2865,493.0,493.0,83.0,83.0,,,,,2865,???????,37.56107808,126.8135461
2830,,,,,1207.0,,,707.0,2830,????ìô???(??),37.51857432,126.98344362
2889,1109.0,1109.0,,,,,,,2889,??????????????,37.55949766,126.85810313
2902,,,,,,171.0,,,2902,???1??????,37.57345278,126.81395378
2817,,,,,,,,467.0,2817,?????????(??),37.53978877,126.99166667
2886,,,,,,19.0,,,2886,?????????????,37.55509161,126.86573127
2885,,,63.0,63.0,63.0,,63.0,,2885,?£⁄??????????,37.5541745,126.86730434
4781,,,,389.0,,,,,4781,?????????,37.48085468,127.13317587
4781,,,,381.0,,,,,4781,?????????,37.48085468,127.13317587
2912,,,,429.0,,,,,2912,????Ög(????),37.54947952,126.83634203
2871,1117.0,117.0,377.0,,,,,,2871,?????,37.54711228,126.87762427
3146,,,,,,,,539.0,3146,???????,37.60062217,127.10611182
2870,989.0,989.0,329.0,549.0,,,,,2870,?œΩ??,37.54755083,126.87110013
1921,,,,,,483.0,,,1921,??????????????(????)1,37.52325729,126.93276022
2869,,,207.0,207.0,957.0,,957.0,,2869,??????,37.55278798,126.86103874
2819,,,,,,475.0,,,2819,?????????????,37.53641095,127.01170475
2822,711.0,711.0,141.0,141.0,,,,,2822,?????????(????),37.53184069,127.00571593
2913,,,,36001.0,,,,,2913,??????????,37.55080223,126.8363575
3967,169.0,169.0,169.0,169.0,,,,,3967,????????,37.62576532,127.05201746
2866,,,101.0,101.0,,,,,2866,?????????,37.56076719,126.81653502
458,285.0,285.0,245.0,285.0,,,,,458,?????•Í???,37.60045295,126.92228443
2862,755.0,755.0,755.0,755.0,,,,,2862,??????7??????????(??),37.56141193,126.90171053
2696,,,,,,187.0,,,2696,????•Ô???,37.53472675,126.97890605
2903,,,,,,,,,2903,????Ög,37.57276301,126.80741756
4755,,,,350.0,,,,,4755,??????????,37.50098795,127.12388618
2117,,,,,267.0,847.0,197.0,1297.0,2117,?????,37.49303466,127.14438174
2638,227.0,,157.0,1007.0,,,,,2638,??????,37.5462573,126.97038574
734,,,,1105.0,,85.0,,,734,?????,37.58826072,126.97232851
2359,,36001.0,,36001.0,,,,,2359,?£⁄?????????,37.54331373,127.10229801
1971,,,36001.0,,,,,,1971,????????,37.4929126,127.01107683
2382,,,,,,1175.0,,,2382,??????,37.53815002,127.05761069
2582,,,,,,,36001.0,1131.0,2582,GS?????????,37.52107353,126.88975073
932,,,,,,36001.0,36001.0,36001.0,932,??????,37.55595857,126.91021247
1963,,,,,,15.0,,,1963,?????,37.51793677,126.88434411
2423,561.0,561.0,411.0,511.0,,,,,2423,???????????????,37.54325384,127.0604213
2374,117.0,117.0,47.0,,,,,,2374,????????????,37.53552415,127.09406109
3392,,,,58.0,,,,,3392,???????,37.56123083,127.07111775
1383,,,89.0,,,,,,1383,?????????????,37.4836982,126.90761643
910,,,1447.0,,,,,,910,??????©≠?????,37.57519719,126.89576637
2378,36001.0,36001.0,,,,36001.0,,36001.0,2378,???????,37.53145782,127.08251379
2340,,,36001.0,,,,,,2340,??????????,37.54726906,127.07417789
2326,,,36001.0,,,,,,2326,????,37.54575754,127.13955004
2352,,,36001.0,,,,,,2352,?¯™???,37.54419031,127.04956
2393,,,,103.0,983.0,283.0,983.0,283.0,2393,???1??????,37.56315936,127.07975707
2040,,,,,,,,,2040,??2??,37.50429186,127.07628297
2349,,,,,0.0,,0.0,1240.0,2349,???????,37.54181484,127.04427618
2342,,,,,,1213.0,,,2342,???ìô??????(????),37.53121437,127.08634339
2379,,299.0,,219.0,,,,,2379,????,37.53200687,127.07961694
186,,,,,,,,,186,?????????,37.49933968,126.90854711
1224,293.0,233.0,643.0,643.0,,,,,1224,??????????(????),37.48254253,126.94919844
1225,,,,590.0,,,,,1225,??????????(????)2,37.4826776,126.94782635
1226,47.0,,427.0,817.0,,,,,1226,??????????,37.48279779,126.94646353
1228,,81.0,36001.0,901.0,,,,,1228,??????????(????)1,37.4829676,126.94495837
1229,,,551.0,,,,,,1229,?????????,37.48308366,126.94377647
3930,,,599.0,,,,,,3930,???????(????),37.53937396,126.82718849
1230,,,597.0,,,,,,1230,???????(????)2,37.48315607,126.9430743
1069,257.0,257.0,857.0,857.0,,,,,1069,???????,37.51064715,127.01981022
2264,581.0,181.0,,,,181.0,,581.0,2264,?¯™??????????,37.53649517,127.14833117
2430,36001.0,36001.0,36001.0,36001.0,,,,,2430,?£⁄?????????(????)2,37.54387036,127.10316252
1168,,,,,95.0,,175.0,,1168,???????,37.55251048,126.95623678
645,,,,,131.0,,,131.0,645,?????????°¿???,37.57192974,127.04417591
2705,,,36001.0,36001.0,36001.0,,36001.0,,2705,????????,37.53829674,127.00158411
985,,,,,36001.0,36001.0,,36001.0,985,??????,37.55148995,127.04411333
858,,,,,36001.0,36001.0,36001.0,36001.0,858,???????????,37.55664706,126.97430128
648,,,,,,1237.0,,,648,????2??,37.56119046,126.98905093
643,,,,,115.0,,,,643,???•Â????¨’??????,37.48258609,126.90121021
644,,301.0,,,,,,,644,??ÓË,37.63596105,127.06821308
423,,,,,,13.0,,,423,????????,37.61898713,126.93267887
420,,,,,349.0,279.0,349.0,79.0,420,????????????103??,37.63457694,126.91897879
432,,,,,151.0,91.0,151.0,951.0,432,????????,37.60147957,126.92712639
430,,,,,,1069.0,,,430,??????????,37.64919223,127.06956635
429,36001.0,36001.0,,,36001.0,,36001.0,,429,?????????,37.5997559,126.91896307
427,,,,,,97.0,,,427,????ÇÈ???(????),37.61082928,126.94146324
425,,,,,,99.0,,,425,????????,37.61430771,126.91012608
426,,,,,,201.0,261.0,,426,??????????,37.6154802,126.90857577
424,,,,,209.0,1039.0,209.0,,424,?????´ï?????,37.61731162,126.90664953
672,,,,,,,153.0,,672,???????,37.57256466,126.99155072
673,,,461.0,,,461.0,461.0,,673,????,37.57566666,126.99063341
671,,,,,171.0,,,,671,?????,37.57057963,126.99537569
4789,,,,,,117.0,1037.0,,4789,???????103??(??),37.4912704,127.1456558
212,,,,,721.0,61.0,401.0,,212,????????????,37.61365533,126.92467062
215,241.0,,,,,191.0,,,215,?????,37.61096344,126.92949454
2479,,,,,,,392.0,,2479,?????????,37.55880738,127.07533659
748,1081.0,,,141.0,,,,,748,???????,37.56540917,126.90148722
467,1117.0,,,,,,,,467,????????,37.59308193,127.07272231
3148,,,,,763.0,,763.0,,3148,????????,37.60032958,127.11198992
1109,,,,,1045.0,115.0,1045.0,115.0,1109,???????????,37.4885037,127.02823373
3150,,,,,,,36001.0,,3150,??????,37.61422822,127.07677567
3149,,993.0,,,,,,,3149,?ØC?????¢¨???????,37.61554546,127.07635992
1426,,811.0,,,,,,,1426,????????¨’?????(????),37.48063569,126.88335504
468,,,,,36001.0,36001.0,36001.0,36001.0,468,?????,37.59156609,127.06721876
3864,,,,,777.0,,,127.0,3864,???????,37.61830357,127.07376972
470,,,,,1001.0,211.0,81.0,141.0,470,????1??,37.57602347,127.04756619
1648,,,,,1089.0,279.0,869.0,,1648,?????©£???,37.5052457,126.94456112
1649,759.0,,,,,,,,1649,?ïõ???•Ï???,37.50482482,126.94624503
742,,,,,,,,19.0,742,???ï«???,37.5730568,126.93556529
2474,,,,,,867.0,327.0,867.0,2474,???????(????),37.56209695,127.07526218
2431,,,,,245.0,645.0,,,2431,?????????(????),37.54005323,127.0504232
2445,,,,,,559.0,319.0,,2445,????•Ó????105????,37.55829501,127.03875359
2415,,,,,377.0,407.0,,,2415,??•·??,37.55450623,127.08628345
1662,,,,,,,325.0,,1662,????????,37.50133421,126.9492296
2435,,,,,,359.0,,,2435,???????,37.53437744,127.07168003
3962,,,,,,,751.0,,3962,"???3,4????•Ï???",37.67211657,127.08286784
2458,,,699.0,699.0,,,,,2458,????????,37.54857831,127.08912313
2444,,,885.0,,,,,,2444,?????????????????,37.56426665,127.08340067
2500,,,,,,,,,2500,???119????????,37.55311866,127.00942761
2457,,,,,279.0,,,,2457,??????(????)2,37.55773251,127.08791424
2470,,,,,,751.0,,,2470,?????(????)2,37.56075527,127.08747398
2419,,,,,,20.0,760.0,,2419,?????????????,37.54948056,127.05610473
2408,,,,,,,59.0,,2408,??????????,37.54262637,127.08425459
2434,,,,,299.0,359.0,299.0,,2434,?????????,37.53480855,127.07011559
2443,,,,777.0,,,,,2443,????2??(????),37.53939052,127.06236678
3458,,,,,1411.0,451.0,1411.0,451.0,3458,??????,37.51214896,126.94021238
2456,,,,,169.0,,169.0,639.0,2456,??????(????)1,37.55864692,127.08777337
2464,,,,,537.0,17.0,57.0,,2464,?????ìô???,37.543996,127.03621407
2449,183.0,,,,,,,,2449,???????(????)2,37.56361141,127.03116849
1922,,,,,,,683.0,,1922,?????????,37.53030792,126.91903719
2487,,,,,29.0,559.0,89.0,579.0,2487,???????(????)1,37.5385787,127.05598897
2495,,,,,,,19.0,,2495,????????,37.55861857,127.01278646
1923,,,,,,,0.0,,1923,???Åö?(????),37.47863187,126.93065339
1924,,,,,187.0,,,,1924,????????,37.5207257,126.92268652
1832,,,,,,,179.0,,1832,????????,37.52000094,127.0495925
1926,,,,,157.0,,,,1926,??????????????(????)3,37.52283541,126.93199967
2471,,,,,247.0,,,,2471,??????????(????),37.5700117,127.08614088
2481,,,,,1189.0,,,,2481,??????,37.5449281,127.08845038
4553,,,,,55.0,35.0,,,4553,????(????)2,37.52515171,126.85032537
2451,245.0,245.0,,,,,,,2451,?????•Ï???(????)1,37.55836152,127.08016483
3125,213.0,213.0,113.0,113.0,,,,,3125,DMC????????,37.57675161,126.92013383
3590,,,,,825.0,345.0,825.0,55.0,3590,????????,37.60804854,127.00146108
3589,,,,,,121.0,,,3589,???????,37.60867149,126.99959538
3588,,,,,537.0,137.0,537.0,247.0,3588,???•‰ïP????,37.60972531,126.99651682
3595,,,,,109.0,599.0,109.0,599.0,3595,??????????(????),37.60267705,127.01348093
3085,,,,,345.0,,345.0,,3085,??????,37.59307254,127.03630234
3587,,,,,379.0,439.0,,439.0,3587,????3????•Ï???,37.60918674,127.00510553
3185,,,,,267.0,,627.0,37.0,3185,????2??????,37.50230521,127.11707024
3598,,,,,303.0,683.0,,273.0,3598,????????,37.59648156,127.01532312
3186,,,,,257.0,,627.0,27.0,3186,??????,37.59353198,127.09032729
3600,,,,,36001.0,36001.0,36001.0,36001.0,3600,????????????,37.61673614,127.00872806
3602,,,,,297.0,247.0,297.0,87.0,3602,??7????,37.52770564,126.86416954
3585,,,,,921.0,201.0,531.0,,3585,????4????•Ï???,37.61283174,127.00740156
3187,,,,,,,660.0,170.0,3187,?????,37.51753995,127.13185181
3610,,,,,439.0,669.0,439.0,669.0,3610,?????????(????),37.58695815,127.02348138
2231,,,,,,,,165.0,2231,?????????,37.54065955,127.14700231
3608,,,,,275.0,145.0,275.0,145.0,3608,??????(??),37.58903534,127.02240019
3607,,,,,893.0,163.0,483.0,,3607,?ï«??????,37.58707909,127.02073161
3188,,,,,,,729.0,,3188,?©™????????2??,37.51579442,127.1306615
3189,,,,,,,693.0,63.0,3189,????????,37.59416379,127.09320358
3612,,,,,63.0,,,,3612,????????(??),37.50798963,126.9645883
3613,,,,,36001.0,,36001.0,36001.0,3613,???????¨“?,37.59416134,127.02520968
3617,,,,,36001.0,36001.0,36001.0,36001.0,3617,???????,37.52096994,126.87064918
3614,,,,,,,719.0,59.0,3614,?????3???(??),37.59459427,127.02625033
3593,,,,,36001.0,36001.0,36001.0,36001.0,3593,????????????????,37.6056873,127.00918072
3611,,,,,,,,327.0,3611,?????,37.64024752,127.07315283
1294,,,,,,433.0,,,1294,?£⁄????•Ï???(????)2,37.47013274,126.93320708
1296,,,,,,,,,1296,?£⁄????•Ï???(????)1,37.46781252,126.93194108
