Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest
23185,,,,,625.0,,,
23610,,,,,,319.0,,
23611,,,,,117.0,,,
4845,,,,,339.0,,,
4838,,,,,,,,325.0
3699,,,,,229.0,,,
3685,,,,,,1053.0,,1053.0
3686,,,,,,,199.0,859.0
23686,,,,,,,,
3687,,,,,,989.0,,989.0
3681,,,,,465.0,1345.0,,1345.0
3688,,,,,,,,
23688,,,,,181.0,911.0,,911.0
21219,,,,,,,,733.0
23665,,,,,25.0,,,
23666,,,,,,619.0,,
23668,,,,,,,,
33668,,,,,,,,
22476,,,,869.0,,,,
23637,,,,,,,,1019.0
22421,,,,,,,,679.0
23362,,,,621.0,,,,
23690,,,,2245.0,,,,
22477,,,,,11.0,,,
1283,,,,,,183.0,,
21283,,,,,,,,
201,,,,,193.0,1163.0,,
200,,,,,1303.0,783.0,153.0,193.0
199,,,,,79.0,989.0,,79.0
3140,,,,,119.0,79.0,119.0,769.0
1307,,,,,,,,27.0
569,,,,,40.0,920.0,40.0,
198,,,,,285.0,,,1135.0
202,221.0,221.0,,,,,,
1284,,,,,,911.0,,
3788,,,,,383.0,903.0,383.0,
3786,,,,,351.0,901.0,351.0,901.0
3762,,,,,,,,261.0
3887,,243.0,,243.0,,,,
3818,,,,,915.0,355.0,915.0,
3787,,,,,147.0,887.0,147.0,887.0
3766,,,,,,,,9.0
23766,,,,,,,,13.0
3765,,,,,,135.0,,
3763,,,,,363.0,1003.0,,
3764,,,,,,,,31.0
3824,,,,,,269.0,,
23887,,,,,,,,
33887,,,,,,,,
3986,799.0,1269.0,,,,129.0,,129.0
3985,,36001.0,,,,,,
23985,,36001.0,,,,,,
631,,36001.0,,,,,,
2969,,509.0,,,,,,
22969,,,,,,,,
2978,,,,,,,,
1424,36001.0,36001.0,36001.0,36001.0,,,,
2985,,36001.0,,,,,,
22985,,36001.0,,,,,,
2963,36001.0,,,36001.0,,,,
2960,,36001.0,36001.0,,,,,
2908,,,36001.0,36001.0,36001.0,,36001.0,
2958,,,,,1.0,,,
3984,36001.0,36001.0,36001.0,36001.0,,,,
2968,36001.0,36001.0,36001.0,36001.0,,,,
449,36001.0,,,,,,,
22958,,,,,,,1.0,
22979,,36001.0,,,,,,
2989,,,233.0,,1123.0,253.0,1123.0,173.0
3983,,,36001.0,,,,,
1207,,,,36001.0,,,,
4822,,,,,,36001.0,,
24822,,,,,,,,36001.0
492,,,,,,36001.0,36001.0,
653,,,,,,36001.0,36001.0,36001.0
23014,,,,,,,36001.0,
3000,,,36001.0,36001.0,36001.0,,36001.0,
2999,,36001.0,,,,,,
23305,,,,36001.0,,,,
31183,36001.0,,,,,,,
1375,36001.0,,,,,,,
23055,36001.0,,,,,,,
23055,36001.0,,,,,,,
3054,36001.0,36001.0,36001.0,36001.0,,,,
109,36001.0,,36001.0,36001.0,,,,
3010,36001.0,,,,,,,
3006,36001.0,36001.0,36001.0,36001.0,,,,
3980,36001.0,36001.0,36001.0,36001.0,,,,
3981,,36001.0,,,,,,
3982,36001.0,36001.0,,36001.0,,,,
23969,188.0,,,,,,,
79,,,,,,,,279.0
81,,,,,655.0,,,
22960,,36001.0,,,,,,
302,,,,,,36001.0,,
369,36001.0,36001.0,,,,,,
3840,,,36001.0,36001.0,,,,
1446,,,,,,36001.0,36001.0,
2203,,,36001.0,36001.0,,,,
35,36001.0,,,,,,,
20035,36001.0,,,,,,,
49,36001.0,,36001.0,36001.0,,,,
2979,,36001.0,,,,,,
2955,,,,36001.0,36001.0,,36001.0,
2952,,,,,,,,36001.0
22952,,,,,,,36001.0,
32952,,,,,,,36001.0,
2950,,36001.0,36001.0,,,,,
3018,,,,36001.0,,,,
3361,,,,36001.0,,,,
23361,,,36001.0,,,,,
20077,,,,36001.0,,,,
1123,36001.0,36001.0,36001.0,36001.0,,,,
3024,,,,36001.0,,,,
3050,,,,36001.0,,,,
22996,,,,,,51.0,,
1460,237.0,,537.0,,,,,
3008,,,,36001.0,,,,
4042,,,,36001.0,,,,
4973,,,36001.0,,,,,
3047,,,,,,,,36001.0
2975,,,36001.0,,,,,
2974,,,36001.0,,,,,
2972,,,,36001.0,,,,
3303,,,,36001.0,,,,
3001,36001.0,36001.0,36001.0,,,,,
235,36001.0,36001.0,36001.0,,,,,
2573,,,,36001.0,,,,
3025,,,,36001.0,,,,
160,,,36001.0,,,,,
3476,,,,36001.0,,,,
23027,,,,36001.0,,,,
655,,,,,,36001.0,,
23028,,,,,,,,36001.0
3031,,,,,,36001.0,,
23033,,,592.0,,,,,
2961,36001.0,,36001.0,36001.0,,,36001.0,
2949,36001.0,36001.0,36001.0,36001.0,,,,
2948,,36001.0,,,,,,
2947,36001.0,36001.0,36001.0,36001.0,,36001.0,,
22947,,36001.0,,,,,,
22966,,36001.0,,,,,,
2971,1244.0,14.0,1864.0,684.0,,,,
2982,,1099.0,,,,,,
2983,847.0,1547.0,107.0,107.0,,,,
3003,,36001.0,,36001.0,,,,
22661,,,,,,,400.0,
2410,,466.0,,,,,,
2215,,,,,,,,
3032,,36001.0,36001.0,36001.0,,,,
3040,36001.0,,,,,,,
2951,36001.0,,36001.0,36001.0,,,36001.0,
3023,,36001.0,,,,,,
3022,145.0,145.0,605.0,605.0,,,,
3046,36001.0,,,,,,,
23048,,,,,36001.0,,,
2214,36001.0,36001.0,,,,36001.0,,36001.0
2216,,,,,36001.0,,,
3004,36001.0,,,,,,,
3002,36001.0,36001.0,36001.0,36001.0,,,,
3199,36001.0,36001.0,36001.0,36001.0,,,,
4911,,,,,36001.0,,,
2290,,,,,,36001.0,36001.0,
2212,36001.0,36001.0,36001.0,36001.0,,,,
3011,,36001.0,36001.0,36001.0,,,,
23009,36001.0,,,,,,,
23045,,36001.0,,,,,,
3021,36001.0,36001.0,,,,36001.0,,36001.0
2417,,36001.0,,,,,,
2953,36001.0,36001.0,36001.0,36001.0,,,,
3029,,36001.0,,,,,,
3030,,,,,36001.0,36001.0,36001.0,36001.0
2988,,,,,36001.0,36001.0,36001.0,36001.0
2987,,36001.0,,,,,,
2954,,,15.0,15.0,795.0,,795.0,
2946,36001.0,36001.0,36001.0,36001.0,,,,
2965,,36001.0,,,,,,
2967,36001.0,,36001.0,36001.0,,,36001.0,
3876,,36001.0,,,,,,
2219,36001.0,36001.0,36001.0,36001.0,,,,
2219,36001.0,36001.0,36001.0,36001.0,,,,
173,,36001.0,,,,,,
2981,,,,,36001.0,,,
2984,36001.0,36001.0,,,,36001.0,,36001.0
2956,36001.0,36001.0,36001.0,36001.0,,,,
3020,,36001.0,,36001.0,,,,
3019,36001.0,36001.0,36001.0,36001.0,,,,
23019,,,36001.0,,,,,
176,36001.0,,,,,,,
23049,36001.0,,,,,,,
33049,,,,36001.0,,,,
3053,1243.0,,,,,,,
2217,36001.0,36001.0,36001.0,36001.0,,,,
23056,36001.0,,,,,,,
2287,,36001.0,,,,,,
2287,,36001.0,,,,,,
3211,36001.0,36001.0,36001.0,36001.0,,,,
2207,36001.0,36001.0,36001.0,36001.0,,,,
3052,36001.0,36001.0,,,,,,
3051,36001.0,36001.0,,,,,,
3007,36001.0,36001.0,36001.0,36001.0,,,,
175,36001.0,,,,,,,
23013,36001.0,,,,,,,
329,,,36001.0,,,,,
800,36001.0,36001.0,36001.0,,,,,
1850,715.0,,415.0,415.0,,,,
2691,569.0,569.0,,,,,,
1619,,,,,,,,291.0
1537,,,,,233.0,133.0,233.0,133.0
929,,,,,,,,36001.0
1574,,,773.0,,,,,
3180,30.0,30.0,,,,,,1310.0
1814,,,,165.0,,,,
1818,,,173.0,,,,,
1839,233.0,233.0,,,,,,
1863,189.0,189.0,899.0,899.0,,,,
1620,,,65.0,,,,,
1819,505.0,505.0,405.0,405.0,,,,
1817,219.0,219.0,219.0,219.0,,,,
1821,853.0,853.0,313.0,313.0,,,,
21821,,101.0,,,,,,
1812,,,69.0,1219.0,779.0,,69.0,
1865,,,36001.0,36001.0,36001.0,,36001.0,
4762,811.0,,1.0,,,,,
4760,,,875.0,,,,,
4761,,,181.0,,,,,
4763,,,13.0,,,,,
1816,,,795.0,,,,,
157,,,,161.0,,,,
1820,811.0,811.0,361.0,311.0,,,,
4765,,,277.0,,,,,
4764,,,119.0,,,,,
2588,,109.0,,,,,,
22588,,,,,,,,
2697,,93.0,,,,,,
4552,,,153.0,,,,,
640,,,949.0,,,,,
151,325.0,325.0,245.0,1005.0,,,,
2580,497.0,497.0,497.0,497.0,,,,
2428,,,,,1333.0,133.0,,
3457,,,,,1225.0,,,
20985,,,,,,36001.0,,
2308,,,,,,427.0,,
1866,,,,,425.0,425.0,,425.0
1867,,,,,,377.0,,
1830,573.0,573.0,573.0,573.0,,,,
21830,,573.0,,,,,,
156,,,,,,,123.0,
1851,435.0,,,,,,,
1999,979.0,,299.0,539.0,,,,1439.0
21999,979.0,,,,,,,
3126,329.0,329.0,,239.0,,,,
1857,313.0,,,,,,,
21857,,,,203.0,,,,
3225,,,,,,,,205.0
1813,,85.0,85.0,85.0,,,,
1815,,595.0,1505.0,,,,,
2262,,35.0,335.0,,,,,
22262,,,,,,333.0,,
1463,,,,,36001.0,36001.0,,
3068,,,,,,,499.0,
23068,,,,,499.0,,,
